Y_ambient,Y_fg,Y_sum,Y_test,bkg_type,c_base,c_phys,col_direction,cpd,N,mean_log_c_phys_meas,std_log_c_phys_measured
1.010009900099,1,2.010009900099,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,0.0348256991154881,2,2,16,-1.38058493260125,0.0543357057474226
2.010019800198,1,3.010019800198,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,0.0332223728207442,2,2,16,-1.36229651660865,0.0541505465760319
2.010019800198,1,3.010019800198,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.0996671184622326,1,2,16,-0.930329761238582,0.0508122820037678
2.010019800198,1,3.010019800198,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.0996671184622326,1,4,16,-0.928448323765682,0.0671820900975122
2.010019800198,1,3.010019800198,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.265778982565954,1,2,16,-0.546128940864678,0.0607603524900282
2.010019800198,1,3.010019800198,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.265778982565954,1,4,16,-0.541989778424298,0.0824028947877002
2.010019800198,1,3.010019800198,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.265778982565954,3,2,16,-0.576608227925656,0.0917351560092987
4.8056769920095,1,5.8056769920095,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.0516735602777932,1,2,16,-1.15314955421419,0.0549699235824639
5.79398495832335,1,6.79398495832335,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.0441567065338389,1,4,16,-1.20599347844693,0.0887162176603969
12.010118801188,10,22.010118801188,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.136300945356009,1,2,16,-0.774063270792558,0.0848376019500791
12.010118801188,10,22.010118801188,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.136300945356009,3,2,16,-0.759011771009359,0.0507884976565502
13.010128701287,10,23.010128701287,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.347672979315085,1,2,16,-0.40614881155773,0.0649369451524788
14.010138601386,10,24.010138601386,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,0.0291543506525028,2,2,16,-1.46756487804226,0.0667716831287131
14.010138601386,10,24.010138601386,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.124947217082155,1,4,16,-0.816351001113271,0.0593558586369553
15.010148501485,10,25.010148501485,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,0.0399837689864426,2,2,16,-1.33715769630443,0.0819295777544818
15.010148501485,10,25.010148501485,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.319870151891541,1,4,16,-0.441217171709505,0.0685562357352171
15.010148501485,10,25.010148501485,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.319870151891541,3,2,16,-0.482608796113302,0.0871489202859286
15.2763500248669,1,16.2763500248669,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.0491510688070585,1,2,16,-1.10677693674998,0.0828425213751256
21.4240051526498,1,22.4240051526498,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.0356760531650817,1,4,16,-1.22900016320272,0.089021276553287
55.6897395147078,10,65.6897395147078,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.0456692327015287,1,2,16,-1.20378392447294,0.0721038584670053
79.9726663952092,10,89.9726663952092,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.0333434599661897,1,4,16,-1.33023721364767,0.0892424056686771
96.0109504095041,100,196.010950409504,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.15305267352321,3,2,16,-0.75420050562495,0.0477047861034498
98.0109702097021,100,198.010970209702,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.404018019381838,1,2,16,-0.344305602942038,0.0484259248416314
101.010999909999,100,201.010999909999,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,0.0348239648732367,2,2,16,-1.38436943498348,0.0808794643552258
104.011029610296,100,204.011029610296,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,0.0490169576571526,2,2,16,-1.26374657332931,0.0826928904956307
108.011069210692,100,208.011069210692,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.144223094058583,1,4,16,-0.775491167576622,0.0571956991761565
109.011079110791,100,209.011079110791,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.382754829745624,3,2,16,-0.45056890752024,0.0574946277023825
112.011108811088,100,212.011108811088,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.377338717997479,1,4,16,-0.372469818625863,0.0536236305306557
160.378995732063,10,170.378995732063,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.0469541445858781,1,2,16,-1.21468724369108,0.0667128474592626
224.757602187998,10,234.757602187998,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,0.0340777036630042,1,4,16,-1.31513324268749,0.0669963654897831
442.710599034926,100,542.710599034926,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.0552780801652804,1,2,16,-1.16751433742677,0.0504423643875278
587.068975029628,100,687.068975029628,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.0436637384168108,1,4,16,-1.27634325966553,0.0622144841903421
